CategoryId,CategoryName,Clevel,ParentId,ParentName,Trees,StylePos
50008164,住宅家具,1,2011010116,家装家饰,家装家饰→住宅家具,NULL
50015886,案/台类,2,50008164,住宅家具,家装家饰→住宅家具→案/台类,NULL
50001406,吧台,3,50015886,案/台类,家装家饰→住宅家具→案/台类→吧台,15
50015888,玄关台,3,50015886,案/台类,家装家饰→住宅家具→案/台类→玄关台,13
50015892,条案,3,50015886,案/台类,家装家饰→住宅家具→案/台类→条案,7
50015952,其它案台,3,50015886,案/台类,家装家饰→住宅家具→案/台类→其它案台,5
50001705,柜类,2,50008164,住宅家具,家装家饰→住宅家具→柜类,NULL
50015734,门厅/玄关柜,3,50001705,柜类,家装家饰→住宅家具→柜类→门厅/玄关柜,14
211507,鞋柜,3,50001705,柜类,家装家饰→住宅家具→柜类→鞋柜,22
50001382,床头柜,3,50001705,柜类,家装家饰→住宅家具→柜类→床头柜,22
50001405,酒柜,3,50001705,柜类,家装家饰→住宅家具→柜类→酒柜,16
50001407,其他柜类,3,50001705,柜类,家装家饰→住宅家具→柜类→其他柜类,7
50008276,餐边柜,3,50001705,柜类,家装家饰→住宅家具→柜类→餐边柜,16
50008399,简易衣柜,3,50001705,柜类,家装家饰→住宅家具→柜类→简易衣柜,13
50015642,柜子配件,3,50001705,柜类,家装家饰→住宅家具→柜类→柜子配件,NULL
50015733,角柜,3,50001705,柜类,家装家饰→住宅家具→柜类→角柜,16
211509,电视柜,3,50001705,柜类,家装家饰→住宅家具→柜类→电视柜,22
50015739,药柜,3,50001705,柜类,家装家饰→住宅家具→柜类→药柜,9
50015740,斗柜,3,50001705,柜类,家装家饰→住宅家具→柜类→斗柜,16
50015744,衣柜,3,50001705,柜类,家装家饰→住宅家具→柜类→衣柜,22
50015885,书柜,3,50001705,柜类,家装家饰→住宅家具→柜类→书柜,NULL
50001715,单个书柜,4,50015885,书柜,家装家饰→住宅家具→柜类→书柜→单个书柜,22
122844005,组合书柜,4,50015885,书柜,家装家饰→住宅家具→柜类→书柜→组合书柜,7
